Invalid ticker symbol: NFInvalid ticker symbol: BABAError during batch insertion: Duplicate entry '9' for key 'Trades.PRIMARY'Invalid ticker symbol: NFInvalid ticker symbol: BABAInvalid ticker symbol: NF
Invalid ticker symbol: BABA
Error during batch insertion: Duplicate entry '9' for key 'Trades.PRIMARY'
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: Z
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: LYFT
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: CMCSA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: FVRR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: FSLY
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: PLTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: UBER
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: QCOM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: LYFT
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: FSLY
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: AMD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWLO
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: WBA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWLO
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ETSY
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: PLTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: PLTR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: FVRR
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 11:06:56 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: NKE
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 13:32:47 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: NKE
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 13:54:31 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NKE
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SHOP
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SPOT
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BIDU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: Z
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: LYFT
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: CMCSA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TWTR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TEAM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ROKU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: FVRR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: DOCU
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: FSLY
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SQ
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NVCR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TSM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SNAP
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: PLTR
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: UBER
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: NET
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: QCOM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: LYFT
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: COIN
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: FSLY
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: AMD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ABNB
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: TWLO
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: WBA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: MRNA
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: ZM
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: SBUX
Thu Sep 26 13:57:25 EDT 2024: Invalid ticker symbol: HOOD
Thu Sep 26 13:58:03 EDT 2024: Invalid ticker symbol: NF
Thu Sep 26 13:58:03 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 13:58:56 EDT 2024: Invalid ticker symbol: NF
Thu Sep 26 13:58:56 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 14:05:59 EDT 2024: Invalid ticker symbol: NF
Thu Sep 26 14:05:59 EDT 2024: Invalid ticker symbol: BABA
Thu Sep 26 14:06:15 EDT 2024: Invalid ticker symbol: NF
Thu Sep 26 14:06:15 EDT 2024: Invalid ticker symbol: BABA
Mon Sep 30 08:54:04 EDT 2024: Invalid ticker symbol: NF
Mon Sep 30 08:54:04 EDT 2024: Invalid ticker symbol: BABA
Mon Sep 30 08:54:42 EDT 2024: Invalid ticker symbol: NF
Mon Sep 30 08:54:42 EDT 2024: Invalid ticker symbol: BABA
